date,code,sector,level,parent_code,outstanding_cr,release_date
2026-03-31,3.1,Transport Operators,2,3,175244.14312902334,2026-07-31
2026-03-31,3.2,Trade,2,3,113670.82832432569,2026-07-31
2026-03-31,3.3,Commercial Real Estate,2,3,107768.81644372486,2026-07-31
2026-03-31,4.1,Housing Loans,2,4,821467.2884330769,2026-07-31
2026-03-31,4.2,Vehicle Loans,2,4,603751.5057315745,2026-07-31
2026-03-31,4.3,Loans against gold jewellery,2,4,310136.27041161095,2026-07-31
2026-03-31,4.4,Consumer Durables,2,4,58823.16497801425,2026-07-31
2026-03-31,2.1.1,Power,3,2.1,1421177.5487872642,2026-07-31
2026-05-31,T,NBFC Credit,0,,5860532.948402481,2026-05-31
2026-05-31,1,Agriculture and Allied Activities,1,T,80325.25787070817,2026-05-31
2026-05-31,2,Industry,1,T,2189379.005413413,2026-05-31
2026-05-31,3,Services,1,T,759616.4348908046,2026-05-31
2026-05-31,4,Retail Loans,1,T,2519541.5354532995,2026-05-31
2026-05-31,5,Other Loans,1,T,311670.7147742568,2026-05-31
2026-05-31,2.1,Infrastructure,2,2,1997643.0980022296,2026-05-31
2026-05-31,3.1,Transport Operators,2,3,175154.42031424682,2026-05-31
2026-05-31,3.2,Trade,2,3,113759.86555829042,2026-05-31
2026-05-31,3.3,Commercial Real Estate,2,3,119602.43786331946,2026-05-31
2026-05-31,4.1,Housing Loans,2,4,834638.5928927467,2026-05-31
2026-05-31,4.2,Vehicle Loans,2,4,617591.1972783053,2026-05-31
2026-05-31,4.3,Loans against gold jewellery,2,4,329944.16930865124,2026-05-31
2026-05-31,4.4,Consumer Durables,2,4,68814.38708901028,2026-05-31
2026-05-31,2.1.1,Power,3,2.1,1411624.1594440914,2026-05-31
2026-06-30,T,NBFC Credit,0,,5931043.771730309,2026-06-30
2026-06-30,1,Agriculture and Allied Activities,1,T,79683.62074498925,2026-06-30
2026-06-30,2,Industry,1,T,2204243.026569161,2026-06-30
2026-06-30,3,Services,1,T,770198.2001465089,2026-06-30
2026-06-30,4,Retail Loans,1,T,2561580.732925884,2026-06-30
2026-06-30,5,Other Loans,1,T,315338.1913437653,2026-06-30
2026-06-30,2.1,Infrastructure,2,2,2009432.3592394849,2026-06-30
2026-06-30,3.1,Transport Operators,2,3,175734.09770852327,2026-06-30
2026-06-30,3.2,Trade,2,3,115058.42155742747,2026-06-30
2026-06-30,3.3,Commercial Real Estate,2,3,111447.60426578496,2026-06-30
2026-06-30,4.1,Housing Loans,2,4,844089.8488207418,2026-06-30
2026-06-30,4.2,Vehicle Loans,2,4,623906.3301150468,2026-06-30
2026-06-30,4.3,Loans against gold jewellery,2,4,341450.08131384896,2026-06-30
2026-06-30,4.4,Consumer Durables,2,4,72201.00410057622,2026-06-30
2026-06-30,2.1.1,Power,3,2.1,1425598.8185774023,2026-06-30
2026-07-31,T,NBFC Credit,0,,5989048.892727917,2026-07-31
2026-07-31,1,Agriculture and Allied Activities,1,T,80271.0196494575,2026-07-31
2026-07-31,2,Industry,1,T,2212889.6254414525,2026-07-31
2026-07-31,3,Services,1,T,769071.9001883457,2026-07-31
2026-07-31,4,Retail Loans,1,T,2605965.4524600073,2026-07-31
2026-07-31,5,Other Loans,1,T,320850.8949886544,2026-07-31
2026-07-31,2.1,Infrastructure,2,2,2015837.6142255375,2026-07-31
2026-07-31,3.1,Transport Operators,2,3,178772.41601387208,2026-07-31
2026-07-31,3.2,Trade,2,3,115516.41753800452,2026-07-31
2026-07-31,3.3,Commercial Real Estate,2,3,103484.96074398204,2026-07-31
2026-07-31,4.1,Housing Loans,2,4,854626.5149435899,2026-07-31
2026-07-31,4.2,Vehicle Loans,2,4,629239.1732665614,2026-07-31
2026-07-31,4.3,Loans against gold jewellery,2,4,353987.66042874334,2026-07-31
2026-07-31,4.4,Consumer Durables,2,4,74644.2502283818,2026-07-31
2026-07-31,2.1.1,Power,3,2.1,1436270.5611596948,2026-07-31
