report_date,bank_name,bank_category,record_type,metric,value,unit,data_status
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,cc_pos_txn_val,5066097.922270001,rs_thousands,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,cc_pos_txn_vol,845872.0,transactions,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,credit_cards,950337.0,count,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_atm_withdrawal_val,7237416.907,rs_thousands,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_atm_withdrawal_vol,1330148.0,transactions,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_ecom_txn_val,688358.4333499726,rs_thousands,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_ecom_txn_vol,150002.0,transactions,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_other_txn_val,2387.65,rs_thousands,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_other_txn_vol,159.0,transactions,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_pos_txn_val,563662.7096300002,rs_thousands,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_pos_txn_vol,163537.0,transactions,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_pos_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,dc_pos_withdrawal_vol,0.0,transactions,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,debit_cards,8930468.0,count,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,micro_atms,858.0,count,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,pos_terminals,0.0,count,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,upi_qr,361903.0,count,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,atm_offsite,6233.0,count,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,atm_onsite,6550.0,count,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,bharat_qr,530417.0,count,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,cc_atm_withdrawal_val,427244.24740999995,rs_thousands,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,cc_atm_withdrawal_vol,73799.0,transactions,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,cc_ecom_txn_val,123086049.56454995,rs_thousands,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,cc_ecom_txn_vol,31056642.0,transactions,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,cc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,cc_other_txn_vol,0.0,transactions,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,cc_pos_txn_val,120983097.69830045,rs_thousands,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,cc_pos_txn_vol,45161580.0,transactions,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,credit_cards,15504019.0,count,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_atm_withdrawal_val,111916848.038,rs_thousands,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_atm_withdrawal_vol,16218316.0,transactions,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_ecom_txn_val,10463233.614049995,rs_thousands,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_ecom_txn_vol,1676575.0,transactions,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_other_txn_val,271700.088,rs_thousands,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_other_txn_vol,10388.0,transactions,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_pos_txn_val,17683050.02709003,rs_thousands,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_pos_txn_vol,3778929.0,transactions,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_pos_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,dc_pos_withdrawal_vol,0.0,transactions,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,debit_cards,41717408.0,count,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,micro_atms,0.0,count,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,pos_terminals,2373258.0,count,provisional
2025-10-31,AXIS BANK LTD,Private Sector Banks,bank,upi_qr,114639236.0,count,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,atm_offsite,5.0,count,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,atm_onsite,416.0,count,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,bharat_qr,38701.0,count,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,cc_atm_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,cc_atm_withdrawal_vol,0.0,transactions,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,cc_ecom_txn_val,2.03791,rs_thousands,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,cc_ecom_txn_vol,9.0,transactions,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,cc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,cc_other_txn_vol,0.0,transactions,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,cc_pos_txn_val,0.48266000000000003,rs_thousands,provisional
2025-10-31,BANDHAN BANK LTD,Private Sector Banks,bank,cc_pos_txn_vol,2.0,transactions,provisional
